ID,Asteroid1.12,Asteroid2.12,Asteroid3.12,Asteroid4.12,Asteroid5.12,Treatment1.12,Treatment2.12,Treatment3.12,Treatment4.12,Treatment5.12,UncontrollableRisk1.18,UncontrollableRisk2.18,UncontrollableRisk3.18,EffortSurvival.18,ImportantSurvive.18,Wealth.12,SSES.12,Age.1,Education.1,CFC.Future.9,CFC.Immediate.9,SoPA.9,SoNA.9,LifeOrientation.10,Sex.1
471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,100.0,100.0,1.0,1.0,11.0,0.929506355,6.0,56.0,3,14.0,47.0,6.333333333,1.0,15.0,2.0
472,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,91.0,80.0,15.0,80.0,11.0,,6.0,45.0,5,38.0,21.0,5.833333333,1.0,12.0,2.0
473,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,51.0,55.0,24.0,52.0,10.0,,5.0,62.0,5,28.0,21.0,4.5,2.571428571,9.5,1.0
474,,,,,,,,,,,,,,,,,,65.0,3,29.0,25.0,3.333333333,2.571428571,10.0,1.0
475,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,,7.0,62.0,7,42.0,22.0,6.0,2.0,11.5,1.0
476,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,-0.301873705,6.0,22.0,5,,,,,,1.0
477,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,95.0,1.0,85.0,1.0,1.0,,5.0,26.0,3,48.0,10.0,2.5,3.571428571,3.0,1.0
478,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,100.0,100.0,15.0,55.0,11.0,-0.561448851,4.0,72.0,3,,,,,,2.0
479,,,,,,,,,,,,,,,,,,54.0,3,41.0,18.0,4.833333333,,6.5,2.0
480,,,,,,,,,,,,,,,,,,44.0,6,,,,,,1.0
481,,,,,,,,,,,,,,,,,,50.0,4,,,,,,2.0
482,3.0,,,,,2.0,2.0,2.0,2.0,2.0,45.0,85.0,79.0,85.0,11.0,-0.189785892,6.0,50.0,5,32.0,29.0,5.166666667,3.714285714,,1.0
483,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.729734535,5.0,21.0,3,,,,,,1.0
484,,,,,,,,,,,,,,,,,,47.0,3,,,,,,2.0
485,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,1.10929335,7.0,47.0,6,49.0,12.0,4.833333333,1.571428571,,2.0
486,,,,,,,,,,,90.0,90.0,10.0,5.0,6.0,,,71.0,3,,,,,,1.0
487,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,,,,,0.158081502,6.0,62.0,6,38.0,14.0,4.5,1.857142857,,2.0
488,,,,,,,,,,,,,,,,,,42.0,2,,,,,,1.0
489,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,100.0,10.0,90.0,100.0,6.0,1.588946038,7.0,55.0,7,37.0,23.0,3.5,3.714285714,6.5,2.0
490,,,,,,,,,,,,,,,,,,52.0,6,,,,,,1.0
491,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,90.0,75.0,50.0,20.0,10.0,0.609737897,6.0,30.0,5,33.0,23.0,5.0,2.285714286,9.0,1.0
492,,,,,,,,,,,,,,,,,,40.0,3,,,,,,1.0
493,,,,,,,,,,,,,,,,,,64.0,5,,,,,,2.0
494,,,,,,,,,,,,,,,,,,31.0,5,,,,,,1.0
495,,,,,,,,,,,99.0,80.0,10.0,1.0,11.0,,,29.0,5,,,,,,1.0
496,,,,,,,,,,,,,,,,,,68.0,5,34.0,28.0,4.666666667,1.714285714,11.0,1.0
497,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,100.0,100.0,0.0,61.0,8.0,0.186077794,7.0,59.0,5,36.0,16.0,6.166666667,1.285714286,9.0,2.0
498,,,,,,,,,,,,,,,,,,28.0,5,49.0,16.0,6.333333333,1.0,,1.0
499,,,,,,,,,,,,,,,,,,50.0,3,,,,,,1.0
500,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,100.0,98.0,5.0,100.0,11.0,1.137289643,8.0,50.0,6,,,,,,1.0
501,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,100.0,100.0,82.0,81.0,11.0,,6.0,35.0,6,32.0,33.0,5.5,5.571428571,8.5,1.0
502,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,55.0,46.0,35.0,30.0,8.0,0.069789253,6.0,33.0,5,43.0,14.0,5.666666667,1.142857143,14.0,1.0
503,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,82.0,4.0,60.0,26.0,9.0,-0.697537515,5.0,60.0,3,24.0,34.0,3.833333333,2.285714286,7.5,1.0
504,,,,,,,,,,,,,,,,,,29.0,3,,,,,,2.0
505,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,80.0,30.0,40.0,54.0,10.0,0.341863939,6.0,56.0,5,34.0,23.0,5.0,1.714285714,12.5,2.0
506,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,100.0,0.0,20.0,60.0,11.0,,5.0,65.0,5,40.0,18.0,4.5,2.571428571,9.5,2.0
507,,,,,,,,,,,,,,,,,,40.0,5,,,,,,2.0
508,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,0.901510062,6.0,25.0,6,36.0,11.0,5.833333333,1.714285714,8.0,1.0
509,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,90.0,25.0,40.0,80.0,9.0,1.748830267,9.0,54.0,6,36.0,9.0,5.5,1.0,13.5,1.0
510,,,,,,,,,,,44.0,40.0,100.0,0.0,1.0,,,43.0,2,,,,,,1.0
511,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,0.901510062,7.0,44.0,5,36.0,21.0,5.0,2.142857143,9.0,1.0
512,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,,,,,,0.186077794,6.0,52.0,5,43.0,14.0,5.666666667,1.285714286,9.0,1.0
513,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,100.0,100.0,0.0,0.0,11.0,0.054189858,5.0,33.0,3,21.0,38.0,6.333333333,3.0,,1.0
514,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,30.0,30.0,70.0,9.0,,6.0,27.0,5,42.0,12.0,5.166666667,1.428571429,7.5,2.0
515,,,,,,,,,,,,,,,,,,68.0,6,,,,,,2.0
516,,,,,,,,,,,,,,,,,,33.0,4,,,,,,1.0
517,,,,,,,,,,,80.0,80.0,80.0,10.0,8.0,,,69.0,3,,,,,,1.0
518,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,20.0,50.0,82.0,11.0,,8.0,65.0,6,49.0,8.0,6.166666667,1.0,13.0,1.0
519,,,,,,,,,,,,,,,,,,56.0,2,,,,,,2.0
520,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,95.0,62.0,22.0,47.0,10.0,-0.805527244,3.0,39.0,3,38.0,18.0,3.833333333,2.428571429,7.0,2.0
521,,,,,,,,,,,,,,,,,,25.0,7,,,,,,2.0
522,,,,,,,,,,,40.0,11.0,50.0,67.0,9.0,,,71.0,6,25.0,29.0,5.333333333,2.428571429,11.0,1.0
523,,,,,,,,,,,,,,,,,,34.0,6,,,,,,1.0
524,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,62.0,51.0,83.0,51.0,8.0,0.345962024,5.0,59.0,6,39.0,25.0,4.5,2.571428571,10.0,2.0
525,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,50.0,25.0,61.0,50.0,9.0,1.588946038,7.0,63.0,5,30.0,19.0,3.5,2.571428571,6.0,2.0
526,,,,,,,,,,,,,,,,,,28.0,1,,,,,,1.0
527,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,50.0,50.0,72.0,50.0,9.0,0.397856524,4.0,44.0,2,26.0,35.0,4.0,2.857142857,9.0,2.0
528,,,,,,,,,,,,,,,,,,60.0,5,,,,,,2.0
529,,,,,,,,,,,,,,,,,,27.0,2,,,,,,2.0
530,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,4.0,55.0,5,43.0,25.0,7.0,1.0,,2.0
531,,,,,,,,,,,,,,,,,,66.0,5,,,,,,1.0
532,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,,,,,,-0.621744807,3.0,30.0,2,29.0,20.0,4.666666667,2.571428571,,1.0
533,,,,,,,,,,,,,,,,,,49.0,2,,,,,8.5,1.0
534,,,,,,,,,,,,,,,,,,22.0,5,,,,,9.0,2.0
535,,,,,,,,,,,,,,,,,,51.0,6,,,,,,1.0
536,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.661632397,7.0,68.0,5,,,,,,1.0
537,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,74.0,59.0,25.0,60.0,8.0,0.657636955,6.0,61.0,5,35.0,22.0,6.0,2.0,12.0,2.0
538,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,75.0,28.0,25.0,39.0,7.0,0.026193565,7.0,52.0,4,39.0,32.0,6.5,3.0,11.0,2.0
539,,,,,,,,,,,,,,,,,,65.0,4,,,,,,2.0
540,,,,,,,,,,,0.0,100.0,30.0,0.0,1.0,,,53.0,5,,,,,,1.0
541,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,99.0,95.0,60.0,0.0,1.0,,4.0,73.0,4,34.0,25.0,5.5,2.0,7.5,1.0
542,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,0.449853668,5.0,49.0,6,37.0,16.0,5.5,,13.5,2.0
543,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,97.0,87.0,20.0,60.0,10.0,,6.0,62.0,5,31.0,22.0,5.666666667,1.571428571,11.5,2.0
544,,,,,,,,,,,,,,,,,,21.0,5,,,,,,1.0
545,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,,7.0,64.0,6,,,,,,1.0
546,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,76.0,61.0,50.0,70.0,11.0,,6.0,63.0,5,38.0,11.0,3.0,1.714285714,8.5,1.0
547,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,92.0,3.0,,,10.0,0.317965731,5.0,67.0,6,44.0,27.0,6.5,1.0,,2.0
548,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,-0.381867141,5.0,40.0,3,36.0,25.0,4.5,3.142857143,8.5,1.0
549,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,95.0,85.0,10.0,20.0,11.0,-0.993407765,7.0,24.0,5,,,6.666666667,1.571428571,5.5,1.0
550,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,,,,,,,7.0,62.0,6,39.0,19.0,6.833333333,1.0,12.0,1.0
551,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,1.588946038,7.0,60.0,5,33.0,24.0,5.0,2.857142857,,2.0
552,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,92.0,4.0,51.0,10.0,0.261870503,8.0,49.0,7,34.0,25.0,4.5,3.857142857,11.5,1.0
553,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,80.0,50.0,5.0,90.0,11.0,1.588946038,8.0,45.0,7,40.0,16.0,3.833333333,2.571428571,,2.0
554,,,,,,,,,,,,,,,,,,44.0,5,,,,,,1.0
555,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,100.0,50.0,10.0,80.0,11.0,,6.0,32.0,5,49.0,7.0,7.0,1.0,11.5,2.0
556,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,-1.289380659,4.0,60.0,6,,,,,9.5,2.0
557,,,,,,,,,,,53.0,41.0,41.0,43.0,8.0,,,19.0,3,41.0,38.0,4.5,4.428571429,,2.0
558,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,100.0,95.0,5.0,15.0,10.0,-0.729631892,3.0,22.0,3,49.0,12.0,6.333333333,2.0,3.0,1.0
559,,,,,,,,,,,,,,,,,,30.0,7,,,,,14.5,1.0
560,,,,,,,,,,,,,,,,,,60.0,5,,,,,,1.0
561,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,95.0,85.0,12.0,70.0,10.0,-1.341275159,4.0,30.0,4,39.0,14.0,5.333333333,1.857142857,,2.0
562,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,0.0,0.0,1.0,1.748830267,7.0,32.0,7,,,,,11.0,2.0
563,,,,,,,,,,,,,,,,,,28.0,5,,,,,,1.0
564,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,80.0,20.0,80.0,35.0,11.0,,6.0,62.0,2,40.0,16.0,4.333333333,2.0,8.0,2.0
565,,,,,,,,,,,100.0,80.0,30.0,5.0,11.0,,,41.0,5,,,,,,1.0
566,,,,,,,,,,,,,,,,,,62.0,4,,,,,,2.0
567,,,,,,,,,,,,,,,,,,20.0,3,35.0,34.0,5.833333333,5.571428571,,2.0
568,,,,,,,,,,,,,,,,,,62.0,2,38.0,23.0,5.5,4.571428571,6.0,2.0
569,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.621744807,4.0,45.0,4,25.0,27.0,3.5,3.714285714,7.0,2.0
570,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,-0.329972641,6.0,22.0,3,,,,,,1.0
571,,,,,,,,,,,,,,,,,,46.0,5,,,,,,1.0
572,,,,,,,,,,,,,,,,,,42.0,6,,,,,,1.0
573,,,,,,,,,,,,,,,,,,25.0,3,,,,,,1.0
574,,,,,,,,,,,,,,,,,,60.0,7,,,,,,2.0
575,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.661632397,5.0,36.0,5,,,,,,1.0
576,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,1.165285935,6.0,47.0,5,49.0,8.0,6.0,2.0,15.0,1.0
577,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,95.0,91.0,13.0,84.0,11.0,1.748830267,7.0,34.0,6,40.0,13.0,6.333333333,1.571428571,12.5,2.0
578,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,100.0,100.0,0.0,0.0,1.0,-0.861519829,2.0,64.0,5,41.0,22.0,5.333333333,1.0,6.5,1.0
579,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,60.0,32.0,50.0,7.0,,4.0,25.0,4,,,,,11.0,2.0
580,,,,,,,,,,,43.0,45.0,49.0,50.0,10.0,,,21.0,3,28.0,24.0,3.333333333,4.0,9.5,1.0
581,,,,,,,,,,,,,,,,,,23.0,3,,,,,,1.0
582,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,98.0,93.0,4.0,74.0,11.0,0.073989981,5.0,31.0,6,45.0,12.0,6.666666667,1.571428571,4.0,2.0
583,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,95.0,85.0,30.0,0.0,1.0,-0.597846599,5.0,41.0,5,14.0,46.0,4.0,2.285714286,5.5,1.0
584,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,51.0,80.0,100.0,11.0,,7.0,43.0,4,36.0,24.0,5.5,,14.0,2.0
585,,,,,,,,,,,,,,,,,,47.0,5,41.0,8.0,5.5,1.857142857,,2.0
586,,,,,,,,,,,,,,,,,,42.0,4,37.0,20.0,5.833333333,2.285714286,14.5,2.0
587,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,-0.293574893,6.0,61.0,4,33.0,34.0,5.5,2.428571429,12.0,2.0
588,,,,,,,,,,,,,,,,,,36.0,5,,,,,,2.0
589,,,,,,,,,,,,,,,,,,21.0,3,,,,,,2.0
590,,,,,,,,,,,,,,,,,,40.0,6,,,,,,1.0
591,,,,,,,,,,,,,,,,,,44.0,2,,,,,9.0,2.0
592,,,,,,,,,,,,,,,,,,24.0,5,,,,,,1.0
593,,,,,,,,,,,,,,,,,,31.0,3,,,,,,3.0
594,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,95.0,75.0,10.0,65.0,11.0,1.165285935,5.0,37.0,5,47.0,20.0,7.0,1.428571429,6.0,2.0
595,,,,,,,,,,,,,,,,,,27.0,3,,,,,,2.0
596,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,57.0,56.0,66.0,58.0,8.0,-0.9696122,3.0,37.0,5,,,,,,1.0
597,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,90.0,55.0,25.0,60.0,10.0,1.748830267,8.0,55.0,6,46.0,12.0,6.5,1.0,13.0,2.0
598,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,0.501748168,7.0,59.0,5,35.0,26.0,6.5,1.428571429,,1.0
599,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,-1.185489015,4.0,61.0,5,,,,,4.0,2.0
600,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,100.0,8.0,90.0,90.0,10.0,1.165285935,7.0,58.0,5,39.0,24.0,4.5,1.142857143,14.0,1.0
601,,,,,,,,,,,,,,,,,,46.0,6,,,,,,2.0
602,,,,,,,,,,,,,,,,,,51.0,7,37.0,38.0,5.666666667,1.428571429,,1.0
603,,,,,,,,,,,,,,,,,,21.0,3,,,,,,1.0
604,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,,,,,,,5.0,26.0,6,,,,,,1.0
605,,,,,,,,,,,,,,,,,,39.0,3,,,,,,1.0
606,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,95.0,15.0,15.0,20.0,9.0,-0.673639307,3.0,56.0,3,36.0,10.0,3.166666667,2.0,10.5,1.0
607,,,,,,,,,,,,,,,,,,20.0,3,42.0,21.0,5.5,1.571428571,8.5,1.0
608,,,,,,,,,,,,,,,,,,62.0,6,,,,,,2.0
609,,,,,,,,,,,,,,,,,,33.0,6,,,,,,2.0
610,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,10.0,20.0,4.0,0.0,1.0,1.429061809,6.0,69.0,6,43.0,13.0,4.833333333,1.857142857,8.5,1.0
611,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,0.186077794,5.0,59.0,3,,,,,12.5,2.0
612,,,,,,,,,,,,,,,,,,64.0,5,,,,,,2.0
613,,,,,,,,,,,,,,,,,,68.0,6,,,,,,1.0
614,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,,,,,,0.261870503,6.0,32.0,6,,,,,,2.0
615,,,,,,,,,,,,,,,,,,33.0,5,,,,,13.5,1.0
616,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,,,,,,0.47784996,6.0,36.0,6,,,,,,1.0
617,,,,,,,,,,,,,,,,,,54.0,5,,,,,,1.0
618,,,,,,,,,,,,,,,,,,65.0,5,,,,,,1.0
619,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,-0.001802727,6.0,69.0,2,35.0,40.0,5.833333333,5.428571429,10.5,2.0
620,,,,,,,,,,,100.0,49.0,30.0,51.0,11.0,,,62.0,6,43.0,20.0,4.5,3.571428571,,2.0
621,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
622,,,,,,,,,,,,,,,,,,50.0,4,44.0,19.0,5.166666667,1.428571429,,1.0
623,,,,,,,,,,,,,,,,,,31.0,5,,,,,,1.0
624,,,,,,,,,,,,,,,,,,39.0,7,,,,,,2.0
625,,,,,,,,,,,,,,,,,,59.0,3,33.0,19.0,5.0,2.0,11.0,1.0
626,,,,,,,,,,,,,,,,,,38.0,5,,,,,7.5,1.0
627,,,,,,,,,,,,,,,,,,27.0,3,,,,,,1.0
628,,,,,,,,,,,,,,,,,,49.0,4,,,,,,2.0
629,,,,,,,,,,,,,,,,,,20.0,3,26.0,22.0,4.166666667,3.0,,1.0
630,,,,,,,,,,,75.0,50.0,50.0,15.0,8.0,,,35.0,6,,,,,,2.0
631,,,,,,,,,,,,,,,,,,70.0,6,,15.0,5.5,1.285714286,,2.0
632,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,62.0,53.0,67.0,54.0,9.0,-0.965411473,2.0,63.0,3,,21.0,5.333333333,2.714285714,10.0,2.0
633,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,,,,8.0,66.0,2,32.0,33.0,7.0,1.571428571,14.5,1.0
634,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,97.0,90.0,52.0,52.0,9.0,0.47784996,7.0,65.0,6,33.0,30.0,5.333333333,1.571428571,12.0,2.0
635,,,,,,,,,,,,,,,,,,38.0,6,,,,,,1.0
636,,,,,,,,,,,,,,,,,,20.0,2,,,,,,1.0
637,,,,,,,,,,,,,,,,,,49.0,3,29.0,33.0,4.333333333,2.428571429,8.0,1.0
638,,,,,,,,,,,,,,,,,,31.0,2,,,,,,1.0
639,,,,,,,,,,,,,,,,,,65.0,3,36.0,19.0,5.666666667,1.428571429,13.0,2.0
640,,,,,,,,,,,,,,,,,,53.0,5,38.0,17.0,3.0,1.714285714,10.0,3.0
641,,,,,,,,,,,,,,,,,,21.0,3,,,,,,1.0
642,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,100.0,7.0,5.0,8.0,0.317965731,6.0,66.0,6,26.0,20.0,3.666666667,1.285714286,11.5,2.0
643,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,,,,,,0.257772418,5.0,47.0,5,45.0,18.0,5.0,2.285714286,7.0,2.0
644,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.449853668,6.0,53.0,5,39.0,23.0,4.0,2.0,,2.0
645,,,,,,,,,,,,,,,,,,20.0,3,,,,,,1.0
646,,,,,,,,,,,69.0,34.0,78.0,48.0,10.0,,,59.0,2,,,,,,2.0
647,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,0.393758439,4.0,28.0,5,38.0,18.0,5.5,2.0,12.0,1.0
648,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.569850306,4.0,43.0,5,49.0,7.0,6.0,2.0,10.5,2.0
649,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,100.0,0.0,19.0,11.0,0.637734189,7.0,41.0,6,,,,,12.0,1.0
650,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,30.0,90.0,85.0,11.0,0.605639812,4.0,77.0,3,39.0,16.0,4.5,1.714285714,14.5,1.0
