ID,Asteroid1.12,Asteroid2.12,Asteroid3.12,Asteroid4.12,Asteroid5.12,Treatment1.12,Treatment2.12,Treatment3.12,Treatment4.12,Treatment5.12,UncontrollableRisk1.18,UncontrollableRisk2.18,UncontrollableRisk3.18,EffortSurvival.18,ImportantSurvive.18,Wealth.12,SSES.12,Age.1,Education.1,CFC.Future.9,CFC.Immediate.9,SoPA.9,SoNA.9,LifeOrientation.10,Sex.1
651,,,,,,,,,,,,,,,,,,50.0,3,,,,,,2.0
652,,,,,,,,,,,,,,,,,,29.0,6,,,,,,1.0
653,,,,,,,,,,,,,,,,,,43.0,3,,,,,,1.0
654,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,100.0,30.0,10.0,40.0,11.0,-0.001802727,3.0,49.0,5,47.0,9.0,5.5,1.142857143,12.0,2.0
655,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,80.0,29.0,82.0,63.0,11.0,0.633636105,6.0,59.0,6,23.0,31.0,5.333333333,1.857142857,,2.0
656,,,,,,,,,,,,,,,,,,33.0,5,,,,,,1.0
657,,,,,,,,,,,,,,,,,,29.0,5,,,,,,1.0
658,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,70.0,50.0,50.0,70.0,10.0,0.341863939,5.0,43.0,5,35.0,24.0,4.166666667,2.714285714,11.5,2.0
659,,,,,,,,,,,,,,,,,,23.0,4,,,,,,2.0
660,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,0.929506355,6.0,73.0,5,49.0,7.0,6.666666667,1.0,14.0,1.0
661,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,0.345962024,5.0,25.0,5,,,,,,2.0
662,,,,,,,,,,,,,,,,,,62.0,6,,,,,13.5,2.0
663,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,100.0,100.0,0.0,0.0,1.0,,7.0,39.0,5,33.0,21.0,6.0,1.0,14.5,
664,,,,,,,,,,,,,,,,,,61.0,6,,,,,,2.0
665,,,,,,,,,,,,,,,,,,38.0,3,,,,,,1.0
666,,,,,,,,,,,,,,,,,,28.0,5,,,,,,1.0
667,,,,,,,,,,,,,,,,,,52.0,3,,,,,,1.0
668,,,,,,,,,,,,,,,,,,28.0,5,,,,,,2.0
669,,,,,,,,,,,,,,,,,,28.0,5,,,,,,3.0
670,,,,,,,,,,,,,,,,,,26.0,3,,,,,,1.0
671,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,-0.353870849,6.0,49.0,6,34.0,20.0,4.833333333,3.428571429,14.0,1.0
672,,,,,,,,,,,,,,,,,,35.0,5,,,,,,1.0
673,,,,,,,,,,,,,,,,,,36.0,6,,,,,10.0,2.0
674,,,,,,,,,,,,,,,,,,50.0,3,,,,,,2.0
675,,,,,,,,,,,,,,,,,,29.0,5,,,,,,2.0
676,,,,,,,,,,,,,,,,,,64.0,6,,,,,,2.0
677,,,,,,,,,,,,,,,,,,22.0,5,30.0,29.0,5.0,5.285714286,,1.0
678,,,,,,,,,,,,,,,,,,62.0,2,,,,,,1.0
679,,,,,,,,,,,,,,,,,,31.0,7,38.0,18.0,5.333333333,1.142857143,13.5,2.0
680,,,,,,,,,,,,,,,,,,39.0,4,,,,,,2.0
681,,,,,,,,,,,,,,,,,,24.0,5,,,,,,1.0
682,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,,5.0,26.0,4,28.0,30.0,2.833333333,3.714285714,6.5,1.0
683,,,,,,,,,,,0.0,0.0,100.0,0.0,1.0,,,26.0,4,,,,,,1.0
684,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,3.0,41.0,3,32.0,32.0,2.833333333,5.285714286,3.5,2.0
685,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,100.0,69.0,40.0,70.0,10.0,-1.317376951,4.0,20.0,2,31.0,24.0,4.666666667,2.428571429,,2.0
686,,,,,,,,,,,,,,,,,,24.0,3,,,,,,1.0
687,,,,,,,,,,,,,,,,,,32.0,1,,,,,,1.0
688,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
689,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,-0.48985687,4.0,32.0,5,,,,,,1.0
690,,,,,,,,,,,40.0,,8.0,69.0,7.0,,,29.0,3,,,,,,2.0
691,,,,,,,,,,,100.0,100.0,100.0,100.0,11.0,,,26.0,3,35.0,32.0,5.166666667,2.571428571,10.5,2.0
692,,,,,,,,,,,,,,,,,,25.0,6,,,,,,2.0
693,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.629640663,5.0,56.0,5,36.0,23.0,4.666666667,2.857142857,,2.0
694,,,,,,,,,,,,,,,,,,21.0,3,,,,,,2.0
695,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,90.0,100.0,0.0,0.0,11.0,-0.273877413,2.0,63.0,2,37.0,23.0,5.5,2.428571429,9.5,1.0
696,,,,,,,,,,,67.0,19.0,70.0,30.0,8.0,,,29.0,5,,,,,,1.0
697,,,,,,,,,,,,,,,,,,20.0,4,,,,,,1.0
698,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,0.47784996,6.0,43.0,2,36.0,16.0,5.833333333,1.0,13.0,1.0
699,,,,,,,,,,,,,,,,,,21.0,3,,,,,,2.0
700,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,,6.0,51.0,5,30.0,21.0,3.666666667,3.571428571,8.5,1.0
701,,,,,,,,,,,,,,,,,,58.0,3,,,,,,1.0
702,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,-0.113993184,5.0,31.0,3,,,,,,2.0
703,,,,,,,,,,,,,,,,,,49.0,4,,,,,,2.0
704,,,,,,,,,,,,,,,,,,28.0,5,,,,,,1.0
705,,,,,,,,,,,,,,,,,,59.0,5,,,,,,1.0
706,,,,,,,,,,,,,,,,,,35.0,6,,,,,,2.0
707,,,,,,,,,,,,,,,,,,81.0,5,,,,,,1.0
708,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,49.0,12.0,32.0,68.0,11.0,-0.409966077,5.0,44.0,6,25.0,28.0,4.333333333,1.0,9.0,2.0
709,,,,,,,,,,,,,,,,,,42.0,6,,,,,,2.0
710,,,,,,,,,,,,,,,,,,62.0,5,,,,,,1.0
711,,,,,,,,,,,,,,,,,,19.0,2,,,,,,2.0
712,,,,,,,,,,,,,,,,,,58.0,5,,,,,9.5,1.0
713,,,,,,,,,,,,,,,,,,48.0,6,42.0,20.0,6.166666667,1.0,,2.0
714,,,,,,,,,,,,,,,,,,31.0,5,,,,,,1.0
715,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
716,,,,,,,,,,,,,,,,,,28.0,5,,,,,,2.0
717,,,,,,,,,,,,,,,,,,32.0,7,43.0,25.0,4.166666667,1.571428571,,2.0
718,,,,,,,,,,,,,,,,,,27.0,5,36.0,36.0,6.0,4.0,11.5,2.0
719,,,,,,,,,,,,,,,,,,22.0,3,,,,,,1.0
720,,,,,,,,,,,,,,,,,,33.0,6,,,,,,2.0
721,,,,,,,,,,,,,,,,,,60.0,7,41.0,39.0,6.333333333,6.0,8.0,1.0
722,,,,,,,,,,,,,,,,,,29.0,6,,,,,,2.0
723,,,,,,,,,,,,,,,,,,33.0,6,,,,,,1.0
724,,,,,,,,,,,,,,,,,,29.0,6,,,,,,1.0
725,,,,,,,,,,,,,,,,,,27.0,5,,,,,,2.0
726,,,,,,,,,,,,,,,,,,62.0,3,,,,,,2.0
727,,,,,,,,,,,,,,,,,,64.0,4,26.0,13.0,5.666666667,1.0,,2.0
728,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,91.0,82.0,77.0,91.0,11.0,-0.621744807,7.0,66.0,3,32.0,17.0,4.833333333,2.285714286,11.5,2.0
729,,,,,,,,,,,,,,,,,,26.0,3,,,,,,1.0
730,,,,,,,,,,,,,,,,,,24.0,5,,,,,11.5,2.0
731,,,,,,,,,,,,,,,,,,25.0,5,,,,,,1.0
732,,,,,,,,,,,,,,,,,,25.0,5,,,,,,1.0
733,,,,,,,,,,,100.0,70.0,30.0,10.0,11.0,,,43.0,4,,,,,,1.0
734,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,,,,,,-1.12949643,3.0,33.0,5,,,,,,2.0
735,,,,,,,,,,,40.0,20.0,65.0,50.0,10.0,,,30.0,4,41.0,20.0,4.666666667,3.714285714,,2.0
736,,,,,,,,,,,,,,,,,,30.0,3,,,,,,1.0
737,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,100.0,100.0,0.0,0.0,10.0,-0.885418037,3.0,59.0,3,30.0,21.0,3.5,1.714285714,9.5,1.0
738,,,,,,,,,,,,,,,,,,39.0,4,,,,,,1.0
739,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.137891391,3.0,42.0,5,,,,,11.0,2.0
740,,,,,,,,,,,,,,,,,,22.0,5,,,,,,1.0
741,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,100.0,92.0,4.0,59.0,11.0,0.345962024,7.0,61.0,5,39.0,19.0,2.666666667,1.142857143,,2.0
742,,,,,,,,,,,,,,,,,,42.0,2,34.0,23.0,4.5,1.571428571,10.5,2.0
743,,,,,,,,,,,,,,,,,,31.0,5,,,,,,2.0
744,,,,,,,,,,,,,,,,,,62.0,7,,,,,,2.0
745,,,,,,,,,,,,,,,,,,30.0,5,,,,,,1.0
746,,,,,,,,,,,,,,,,,,47.0,7,,,,,,1.0
747,,,,,,,,,,,,,,,,,,30.0,3,,,,,,1.0
748,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,75.0,50.0,60.0,70.0,11.0,-0.250081848,6.0,26.0,5,,,,,5.5,1.0
749,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,81.0,1.0,6.0,-1.12949643,3.0,61.0,3,28.0,18.0,6.166666667,1.571428571,13.5,2.0
750,,,,,,,,,,,,,,,,,,26.0,6,,,,,,1.0
751,,,,,,,,,,,,,,,,,,29.0,6,,,,,,2.0
752,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
753,,,,,,,,,,,,,,,,,,24.0,2,,,,,,1.0
754,,,,,,,,,,,,,,,,,,32.0,1,39.0,18.0,6.166666667,1.285714286,,1.0
755,,,,,,,,,,,,,,,,,,29.0,6,,,,,,1.0
756,,,,,,,,,,,,,,,,,,19.0,2,,,,,,2.0
757,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,99.0,51.0,7.0,86.0,11.0,0.637734189,8.0,53.0,5,39.0,18.0,5.333333333,2.428571429,13.0,2.0
758,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,0.661632397,6.0,38.0,5,,,,,,2.0
759,,,,,,,,,,,,,,,,,,47.0,3,,,,,,2.0
760,,,,,,,,,,,,,,,,,,25.0,5,,,,,,1.0
761,,,,,,,,,,,,,,,,,,22.0,5,,,,,,2.0
762,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,52.0,29.0,38.0,35.0,8.0,-0.9696122,4.0,40.0,3,38.0,33.0,3.166666667,3.571428571,7.5,2.0
763,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
764,,,,,,,,,,,,,,,,,,27.0,3,,,,,,2.0
765,,,,,,,,,,,,,,,,,,22.0,5,,,,,,1.0
766,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,97.0,52.0,67.0,53.0,10.0,-1.049502994,4.0,65.0,2,37.0,16.0,5.5,1.571428571,6.5,2.0
767,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
768,,,,,,,,,,,,,,,,,,30.0,6,42.0,22.0,4.833333333,2.571428571,,2.0
769,,,,,,,,,,,,,,,,,,24.0,3,,,,,,1.0
770,,,,,,,,,,,,,,,,,,25.0,7,46.0,24.0,6.833333333,1.142857143,11.0,1.0
771,,,,,,,,,,,,,,,,,,20.0,3,,,,,,2.0
772,,,,,,,,,,,,,,,,,,39.0,5,,,,,,2.0
773,,,,,,,,,,,90.0,40.0,60.0,70.0,11.0,,,35.0,3,,,,,,1.0
774,,,,,,,,,,,,,,,,,,61.0,5,,,,,12.0,1.0
775,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
776,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
777,,,,,,,,,,,,,,,,,,24.0,5,,,,,,1.0
778,2.0,1.0,2.0,3.0,3.0,,,1.0,2.0,3.0,55.0,42.0,54.0,73.0,11.0,1.588946038,5.0,61.0,6,46.0,44.0,6.666666667,6.714285714,10.0,1.0
779,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,97.0,85.0,8.0,30.0,11.0,0.657534312,8.0,67.0,6,34.0,22.0,4.5,2.714285714,13.5,1.0
780,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
781,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,100.0,36.0,33.0,50.0,9.0,-0.889618764,4.0,22.0,4,29.0,30.0,5.0,2.714285714,9.0,1.0
782,,,,,,,,,,,,,,,,,,30.0,5,,,,,,2.0
783,,,,,,,,,,,,,,,,,,28.0,6,,,,,,1.0
784,,,,,,,,,,,,,,,,,,28.0,6,,,,,,1.0
785,,,,,,,,,,,,,,,,,,38.0,3,,,,,,1.0
786,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
787,,,,,,,,,,,,,,,,,,28.0,5,,,,,,2.0
788,,,,,,,,,,,,,,,,,,32.0,6,,,,,,1.0
789,,,,,,,,,,,,,,,,,,35.0,6,,,,,,1.0
790,,,,,,,,,,,,,,,,,,75.0,5,40.0,21.0,5.833333333,1.0,11.5,1.0
791,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
792,,,,,,,,,,,,,,,,,,34.0,3,,,,,,2.0
793,,,,,,,,,,,,,,,,,,28.0,5,,,,,,1.0
794,,,,,,,,,,,,,,,,,,31.0,3,,,,,,1.0
795,,,,,,,,,,,,,,,,,,20.0,3,,,,,,2.0
796,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,,,,,,,7.0,19.0,3,,,,,8.0,2.0
797,,,,,,,,,,,100.0,100.0,0.0,61.0,11.0,,,35.0,5,46.0,21.0,6.666666667,2.0,5.5,2.0
798,,,,,,,,,,,67.0,71.0,62.0,73.0,9.0,,,44.0,7,,,,,,1.0
799,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,93.0,98.0,97.0,5.0,10.0,0.102088917,7.0,56.0,3,39.0,16.0,5.666666667,1.857142857,9.0,1.0
800,,,,,,,,,,,,,,,,,,19.0,3,,,,,,1.0
801,,,,,,,,,,,,,,,,,,51.0,4,,,,,,2.0
802,,,,,,,,,,,79.0,,60.0,30.0,8.0,,,28.0,6,,,,,,2.0
803,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,85.0,15.0,82.0,94.0,11.0,0.341863939,8.0,19.0,2,37.0,33.0,6.0,4.857142857,11.0,2.0
804,,,,,,,,,,,,,,,,,,25.0,5,,,,,,1.0
805,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.941513265,5.0,36.0,3,25.0,25.0,5.666666667,4.714285714,7.0,1.0
806,,,,,,,,,,,,,,,,,,23.0,2,,,,,,1.0
807,,,,,,,,,,,,,,,,,,34.0,5,,,,,,1.0
808,,,,,,,,,,,,,,,,,,28.0,5,,,,,,2.0
809,,,,,,,,,,,,,,,,,,30.0,5,,,,,,2.0
810,,,,,,,,,,,,,,,,,,28.0,5,,,,,,2.0
811,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
812,,,,,,,,,,,,,,,,,,32.0,6,,,,,,2.0
813,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
814,,,,,,,,,,,,,,,,,,28.0,6,,,,,,2.0
815,,,,,,,,,,,,,,,,,,35.0,6,,,,,,1.0
816,,,,,,,,,,,,,,,,,,35.0,6,,,,,,2.0
817,,,,,,,,,,,,,,,,,,27.0,6,,,,,,1.0
818,,,,,,,,,,,,,,,,,,27.0,5,,,,,,1.0
819,,,,,,,,,,,,,,,,,,30.0,3,,,,,,1.0
820,,,,,,,,,,,,,,,,,,28.0,6,,,,,,2.0
821,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,-0.701738243,7.0,61.0,7,,,,,8.5,2.0
822,,,,,,,,,,,,,,,,,,33.0,5,,,,,,1.0
823,,,,,,,,,,,,,,,,,,30.0,7,,,,,,2.0
824,,,,,,,,,,,,,,,,,,31.0,6,,,,,,1.0
825,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
826,,,,,,,,,,,,,,,,,,31.0,6,,,,,,1.0
827,,,,,,,,,,,,,,,,,,35.0,6,,,,,,2.0
828,,,,,,,,,,,,,,,,,,35.0,6,,,,,,2.0
829,,,,,,,,,,,,,,,,,,35.0,6,,,,,,1.0
830,,,,,,,,,,,,,,,,,,69.0,5,,,,,,2.0
831,,,,,,,,,,,,,,,,,,28.0,6,,,,,9.0,2.0
832,,,,,,,,,,,,,,,,,,26.0,5,,,,,,1.0
833,,,,,,,,,,,,,,,,,,26.0,4,,,,,,1.0
834,,,,,,,,,,,,,,,,,,38.0,6,,,,,,2.0
835,,,,,,,,,,,,,,,,,,33.0,6,,,,,,2.0
836,,,,,,,,,,,,,,,,,,73.0,5,32.0,32.0,6.166666667,1.285714286,12.5,1.0
837,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
838,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
839,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
840,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
841,,,,,,,,,,,,,,,,,,27.0,5,26.0,32.0,5.333333333,1.857142857,14.0,2.0
842,,,,,,,,,,,,,,,,,,43.0,6,,,,,,2.0
843,,,,,,,,,,,,,,,,,,33.0,5,,,,,,1.0
844,,,,,,,,,,,,,,,,,,26.0,5,,,,,,1.0
845,,,,,,,,,,,,,,,,,,27.0,5,,,,,,1.0
846,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,50.0,20.0,50.0,50.0,8.0,,6.0,54.0,5,42.0,19.0,5.0,1.428571429,12.5,1.0
847,,,,,,,,,,,,,,,,,,44.0,3,,,,,3.0,2.0
848,,,,,,,,,,,,,,,,,,21.0,4,,,,,,1.0
849,,,,,,,,,,,,,,,,,,45.0,7,,,,,,1.0
850,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,-1.049502994,4.0,24.0,5,,,,,,1.0
851,,,,,,,,,,,,,,,,,,22.0,3,,,,,,2.0
852,,,,,,,,,,,,,,,,,,44.0,6,,,,,,1.0
853,,,,,,,,,,,,,,,,,,26.0,5,,,,,,1.0
854,,,,,,,,,,,,,,,,,,58.0,6,,,,,,1.0
855,,,,,,,,,,,,,,,,,,40.0,6,,,,,,2.0
856,,,,,,,,,,,,,,,,,,30.0,5,,,,,,2.0
857,,,,,,,,,,,,,,,,,,30.0,5,,,,,,2.0
858,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.541751371,4.0,33.0,6,,,,,,2.0
859,,,,,,,,,,,,,,,,,,30.0,5,,,,,,1.0
860,,,,,,,,,,,,,,,,,,39.0,3,,,,,,2.0
861,,,,,,,,,,,50.0,50.0,50.0,81.0,9.0,,,41.0,3,,,,,,2.0
862,,,,,,,,,,,,,,,,,,49.0,5,,,,,10.5,2.0
863,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
864,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
865,,,,,,,,,,,,,,,,,,38.0,6,,,,,,2.0
866,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,3.0,,,,,,-0.541854013,,53.0,6,35.0,29.0,4.0,1.0,9.0,1.0
867,,,,,,,,,,,,,,,,,,23.0,5,,,,,,1.0
868,,,,,,,,,,,,,,,,,,30.0,6,33.0,23.0,5.833333333,1.571428571,14.5,2.0
869,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
870,,,,,,,,,,,,,,,,,,27.0,5,,,,,,2.0
871,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,-0.541751371,7.0,26.0,5,39.0,18.0,5.0,2.428571429,13.0,1.0
872,,,,,,,,,,,,,,,,,,44.0,5,,,,,,1.0
873,,,,,,,,,,,,,,,,,,22.0,3,46.0,7.0,6.5,1.0,,1.0
874,,,,,,,,,,,,,,,,,,30.0,5,,,,,,1.0
875,,,,,,,,,,,,,,,,,,28.0,6,,,,,,2.0
876,,,,,,,,,,,,,,,,,,31.0,6,,,,,,2.0
877,,,,,,,,,,,,,,,,,,36.0,4,,,,,,2.0
878,,,,,,,,,,,,,,,,,,29.0,5,,,,,,2.0
879,,,,,,,,,,,,,,,,,,71.0,5,,,,,,1.0
880,,,,,,,,,,,,,,,,,,61.0,3,,,,,,2.0
881,,,,,,,,,,,,,,,,,,30.0,5,,,,,,1.0
882,,,,,,,,,,,,,,,,,,27.0,6,,,,,,2.0
883,,,,,,,,,,,,,,,,,,29.0,3,,,,,,2.0
884,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,6.0,32.0,6,,,,,,1.0
885,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,61.0,76.0,50.0,50.0,10.0,0.214074087,5.0,49.0,5,36.0,15.0,4.333333333,1.571428571,3.0,2.0
886,,,,,,,,,,,,,,,,,,33.0,6,,,,,,1.0
887,,,,,,,,,,,,,,,,,,46.0,5,,,,,,2.0
888,,,,,,,,,,,,,,,,,,20.0,3,,,,,,2.0
889,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
890,,,,,,,,,,,,,,,,,,30.0,5,,,,,,2.0
891,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
892,,,,,,,,,,,,,,,,,,31.0,6,,,,,,1.0
893,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
894,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
895,,,,,,,,,,,,,,,,,,40.0,7,,,,,,1.0
896,,,,,,,,,,,,,,,,,,22.0,3,,,,,,2.0
897,,,,,,,,,,,,,,,,,,29.0,6,,,,,,2.0
898,,,,,,,,,,,,,,,,,,64.0,3,,,,,,2.0
899,,,,,,,,,,,,,,,,,,30.0,6,,,,,,2.0
900,,,,,,,,,,,,,,,,,,29.0,5,,,,,,1.0
901,,,,,,,,,,,,,,,,,,20.0,3,,,,,,1.0
902,,,,,,,,,,,,,,,,,,28.0,3,,,,,,1.0
903,,,,,,,,,,,,,,,,,,19.0,2,,,,,,1.0
904,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,-1.289380659,5.0,34.0,2,41.0,13.0,6.0,1.0,7.5,1.0
905,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,90.0,42.0,66.0,82.0,11.0,0.317965731,6.0,33.0,6,38.0,16.0,5.333333333,2.571428571,8.0,2.0
906,,,,,,,,,,,,,,,,,,43.0,5,29.0,28.0,5.166666667,4.142857143,13.5,1.0
907,,,,,,,,,,,,,,,,,,20.0,3,,,,,,1.0
908,,,,,,,,,,,,,,,,,,35.0,6,,,,,,2.0
909,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,99.0,91.0,15.0,51.0,11.0,1.748830267,7.0,30.0,6,47.0,15.0,5.333333333,1.142857143,11.5,1.0
910,,,,,,,,,,,,,,,,,,35.0,6,,,,,,1.0
911,,,,,,,,,,,,,,,,,,19.0,3,,,,,,2.0
912,,,,,,,,,,,,,,,,,,47.0,6,,,,,,2.0
913,,,,,,,,,,,,,,,,,,20.0,3,,,,,10.0,1.0
914,,,,,,,,,,,,,,,,,,51.0,5,,,,,,2.0
915,,,,,,,,,,,,,,,,,,30.0,6,,,,,,1.0
